ASSET_TYPE                                                NAME                                                                                                                                                                                                                            LOCATION
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/europe-west2/subnetworks/default                                                                                                                                      europe-west2
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/europe-west6/subnetworks/default                                                                                                                                      europe-west6
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/southamerica-east1/subnetworks/default                                                                                                                                southamerica-east1
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-f30b1265c242a2d7                                                                                                                                global
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/europe-southwest1/subnetworks/default                                                                                                                                 europe-southwest1
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-ab235008fd61398e                                                                                                                                global
compute.googleapis.com/Route                              //compute.googleapis.com/projects/heidless-apps-2/global/routes/default-route-r-c7cf2b67e145e76b                                                                                                                                global
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/asia-northeast2/subnetworks/default                                                                                                                                   asia-northeast2
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/northamerica-south1/subnetworks/default                                                                                                                               northamerica-south1
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/us-east1/subnetworks/default                                                                                                                                          us-east1
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/asia-southeast3/subnetworks/default                                                                                                                                   asia-southeast3
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/me-central1/subnetworks/default                                                                                                                                       me-central1
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/europe-west4/subnetworks/default                                                                                                                                      europe-west4
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/europe-west3/subnetworks/default                                                                                                                                      europe-west3
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/europe-central2/subnetworks/default                                                                                                                                   europe-central2
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/northamerica-northeast2/subnetworks/default                                                                                                                           northamerica-northeast2
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/asia-south1/subnetworks/default                                                                                                                                       asia-south1
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/europe-north2/subnetworks/default                                                                                                                                     europe-north2
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/us-west4/subnetworks/default                                                                                                                                          us-west4
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/us-south1/subnetworks/default                                                                                                                                         us-south1
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/us-east5/subnetworks/default                                                                                                                                          us-east5
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/us-west2/subnetworks/default                                                                                                                                          us-west2
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/northamerica-northeast1/subnetworks/default                                                                                                                           northamerica-northeast1
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/southamerica-west1/subnetworks/default                                                                                                                                southamerica-west1
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/europe-west12/subnetworks/default                                                                                                                                     europe-west12
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/asia-northeast3/subnetworks/default                                                                                                                                   asia-northeast3
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/us-east4/subnetworks/default                                                                                                                                          us-east4
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/europe-west10/subnetworks/default                                                                                                                                     europe-west10
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/africa-south1/subnetworks/default                                                                                                                                     africa-south1
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/europe-west9/subnetworks/default                                                                                                                                      europe-west9
compute.googleapis.com/Subnetwork                         //compute.googleapis.com/projects/heidless-apps-2/regions/me-west1/subnetworks/default                                                                                                                                          me-west1
